area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,http://snomed.info/sct,372788003,SULFA ANTIBIOTICS,content-match,yes,medium,SNOMED class concept; same allergen-id also fans out to 34 NDF-RT codes,standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006329,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006675,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006849,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006868,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006871,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006879,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006886,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006888,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
allergy,AllergyIntolerance.code,SULFA ANTIBIOTICS,ALLERGY,ALLERGEN_ID,Epic ALLERGEN master file (ALLERGY.ALLERGEN_ID),33,SULFA ANTIBIOTICS,urn:oid:2.16.840.1.113883.3.26.1.5,N0000006904,NCI NDF-RT,content-match,yes,medium,NCI NDF-RT class member; 34 NDF-RT codes + 1 SNOMED share this allergen-id (1:n fan-out),standard
