area,fhir_path,concept_display,ehi_join_table,ehi_join_column,epic_local_system,epic_local_code,epic_local_display,target_system,target_code,target_display,anchor_method,ehi_verified,confidence,notes,system_class
immunization,Immunization.vaccineCode,"Influenza (FLUCELVAX) ccIIV4, prefilled syringe",IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,30666377,"INFLUENZA (FLUCELVAX) CCIIV4, PREFILLED SYRINGE",http://hl7.org/fhir/sid/cvx,171,"Influenza (FLUCELVAX) ccIIV4, prefilled syringe",dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=90674 carries the CVX concept,standard
immunization,Immunization.vaccineCode,Typhoid Inactivated (Typhim Vi),IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,59265744,TYPHOID INACTIVATED (TYPHIM VI),http://hl7.org/fhir/sid/cvx,101,Typhoid Inactivated (Typhim Vi),dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=64 carries the CVX concept,standard
immunization,Immunization.vaccineCode,Tdap,IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,59265745,TDAP,http://hl7.org/fhir/sid/cvx,115,Tdap,dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=61 carries the CVX concept,standard
immunization,Immunization.vaccineCode,"Influenza (FLUCELVAX) ccIIV4, prefilled syringe",IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,59265746,"INFLUENZA (FLUCELVAX) CCIIV4, PREFILLED SYRINGE",http://hl7.org/fhir/sid/cvx,171,"Influenza (FLUCELVAX) ccIIV4, prefilled syringe",dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=90674 carries the CVX concept,standard
immunization,Immunization.vaccineCode,Hepatitis A (Havrix) HepA adult,IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,59265747,HEPATITIS A (HAVRIX) HEPA ADULT,http://hl7.org/fhir/sid/cvx,52,Hepatitis A (Havrix) HepA adult,dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=85 carries the CVX concept,standard
immunization,Immunization.vaccineCode,"Influenza, unspecified formulation",IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,59265748,"INFLUENZA, UNSPECIFIED FORMULATION",http://hl7.org/fhir/sid/cvx,88,"Influenza, unspecified formulation",dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=40821 carries the CVX concept,standard
immunization,Immunization.vaccineCode,COVID-19 (MODERNA) mRNA ages 12+,IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,82049278,COVID-19 (MODERNA) MRNA,http://hl7.org/fhir/sid/cvx,207,COVID-19 (MODERNA) mRNA ages 12+,dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=91301 carries the CVX concept,standard
immunization,Immunization.vaccineCode,COVID-19 (MODERNA) mRNA ages 12+,IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,82049279,COVID-19 (MODERNA) MRNA,http://hl7.org/fhir/sid/cvx,207,COVID-19 (MODERNA) mRNA ages 12+,dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=91301 carries the CVX concept,standard
immunization,Immunization.vaccineCode,COVID-19 (MODERNA) mRNA ages 12+,IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,82049323,COVID-19 (MODERNA) MRNA,http://hl7.org/fhir/sid/cvx,207,COVID-19 (MODERNA) mRNA ages 12+,dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=91301 carries the CVX concept,standard
immunization,Immunization.vaccineCode,"Influenza, inactivated, quadrivalent, ALL AGES 6 months and older, single dose syringe/vial",IMMUNE,IMMUNE_ID,urn:oid:1.2.840.114350.1.13.283.2.7.2.768076,90573906,"INFLUENZA, INACTIVATED, QUADRIVALENT, ALL AGES 6 MONTHS AND OLDER, SINGLE DOSE SYRINGE/VIAL",http://hl7.org/fhir/sid/cvx,150,"Influenza, inactivated, quadrivalent, ALL AGES 6 months and older, single dose syringe/vial",dual-coding,yes,high,IMMUNE_ID is the record-level join key (FHIR identifier 768076); vaccine type IMMUNZATN_ID=40890686 carries the CVX concept,standard
